# SID Intervals for LFMN - Nice
# Available SIDs: BADOD, BASIP, BODRU, EPOLO, IRMAR, LANKO, LONSU, OKTET, PERUS, RUBAS, RUBIT, SODRI, TURIL, VAREK
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 04L
LFMN,04R,SODRI,BASIP,2
LFMN,04R,SODRI,BODRU,2
LFMN,04R,SODRI,EPOLO,2
LFMN,04R,SODRI,IRMAR,2
LFMN,04R,SODRI,LANKO,2
LFMN,04R,SODRI,LONSU,2
LFMN,04R,SODRI,OKTET,2
LFMN,04R,SODRI,PERUS,2
LFMN,04R,SODRI,RUBAS,2
LFMN,04R,SODRI,RUBIT,2
LFMN,04R,SODRI,SODRI,2
LFMN,04R,SODRI,TURIL,2
LFMN,04R,SODRI,VAREK,2

LFMN,04R,TURIL,BADOD,2
LFMN,04R,TURIL,BASIP,2
LFMN,04R,TURIL,BODRU,2
LFMN,04R,TURIL,EPOLO,2
LFMN,04R,TURIL,IRMAR,2
LFMN,04R,TURIL,LANKO,2
LFMN,04R,TURIL,LONSU,2
LFMN,04R,TURIL,OKTET,2
LFMN,04R,TURIL,PERUS,2
LFMN,04R,TURIL,RUBAS,2
LFMN,04R,TURIL,RUBIT,2
LFMN,04R,TURIL,SODRI,2
LFMN,04R,TURIL,TURIL,2
LFMN,04R,TURIL,VAREK,2

LFMN,04R,VAREK,BADOD,2
LFMN,04R,VAREK,BASIP,2
LFMN,04R,VAREK,BODRU,2
LFMN,04R,VAREK,EPOLO,2
LFMN,04R,VAREK,IRMAR,2
LFMN,04R,VAREK,LANKO,2
LFMN,04R,VAREK,LONSU,2
LFMN,04R,VAREK,OKTET,2
LFMN,04R,VAREK,PERUS,2
LFMN,04R,VAREK,RUBAS,2
LFMN,04R,VAREK,RUBIT,2
LFMN,04R,VAREK,SODRI,2
LFMN,04R,VAREK,TURIL,2
LFMN,04R,VAREK,VAREK,2

## RWY 22L
LFMN,22L,BADOD,BADOD,2
LFMN,22L,BADOD,BASIP,2
LFMN,22L,BADOD,BODRU,2
