# SID Intervals for LFML - Marseille-Provence Airport
# Available SIDs: ETREK, FJR, LERGA, LUC, MADRA, MAMES, MTG, MTL, NASIK, SOSUR, TINOT, VATIR
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 13L
LFML,31R,ETREK,TINOT,3
LFML,31R,ETREK,VATIR,3

LFML,31R,FJR,ETREK,3
LFML,31R,FJR,FJR,3
LFML,31R,FJR,LERGA,3
LFML,31R,FJR,LUC,3
LFML,31R,FJR,MAMES,3
LFML,31R,FJR,MTG,3
LFML,31R,FJR,MTL,3
LFML,31R,FJR,NASIK,3
LFML,31R,FJR,SOSUR,3
LFML,31R,FJR,TINOT,3
LFML,31R,FJR,VATIR,3

LFML,31R,LERGA,ETREK,3
LFML,31R,LERGA,FJR,3
LFML,31R,LERGA,LERGA,3
LFML,31R,LERGA,LUC,3
LFML,31R,LERGA,MAMES,3
LFML,31R,LERGA,MTG,3
LFML,31R,LERGA,MTL,3
LFML,31R,LERGA,NASIK,3
LFML,31R,LERGA,SOSUR,3
LFML,31R,LERGA,TINOT,3
LFML,31R,LERGA,VATIR,3

LFML,31R,LUC,ETREK,3
LFML,31R,LUC,FJR,3
LFML,31R,LUC,LERGA,3
LFML,31R,LUC,LUC,3
LFML,31R,LUC,MAMES,3
LFML,31R,LUC,MTG,3
LFML,31R,LUC,MTL,3
LFML,31R,LUC,NASIK,3
LFML,31R,LUC,SOSUR,3
LFML,31R,LUC,TINOT,3
LFML,31R,LUC,VATIR,3

LFML,31R,MAMES,ETREK,3
LFML,31R,MAMES,FJR,3
LFML,31R,MAMES,LERGA,3
LFML,31R,MAMES,LUC,3
LFML,31R,MAMES,MAMES,3
LFML,31R,MAMES,MTG,3
LFML,31R,MAMES,MTL,3
LFML,31R,MAMES,NASIK,3
LFML,31R,MAMES,SOSUR,3
LFML,31R,MAMES,TINOT,3
LFML,31R,MAMES,VATIR,3

LFML,31R,MTG,ETREK,3
LFML,31R,MTG,FJR,3
LFML,31R,MTG,LERGA,3
LFML,31R,MTG,LUC,3
LFML,31R,MTG,MAMES,3
LFML,31R,MTG,MTG,3
LFML,31R,MTG,MTL,3
LFML,31R,MTG,NASIK,3
LFML,31R,MTG,SOSUR,3
LFML,31R,MTG,TINOT,3
LFML,31R,MTG,VATIR,3

LFML,31R,MTL,ETREK,3
LFML,31R,MTL,FJR,3
LFML,31R,MTL,LERGA,3
LFML,31R,MTL,LUC,3
LFML,31R,MTL,MAMES,3
LFML,31R,MTL,MTG,3
LFML,31R,MTL,MTL,3
LFML,31R,MTL,NASIK,3
LFML,31R,MTL,SOSUR,3
LFML,31R,MTL,TINOT,3
LFML,31R,MTL,VATIR,3

LFML,31R,NASIK,ETREK,3
LFML,31R,NASIK,FJR,3
LFML,31R,NASIK,LERGA,3
LFML,31R,NASIK,LUC,3
LFML,31R,NASIK,MAMES,3
LFML,31R,NASIK,MTG,3
LFML,31R,NASIK,MTL,3
LFML,31R,NASIK,NASIK,3
LFML,31R,NASIK,SOSUR,3
LFML,31R,NASIK,TINOT,3
