# SID Intervals for LFPO - Paris-Orly
# Available SIDs: 
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 02
LFPO,06,DORDI,DORDI,2
LFPO,06,DORDI,ELCOB,2
LFPO,06,DORDI,ERIXU,2
LFPO,06,DORDI,LGL,2
LFPO,06,DORDI,MONOT,2
LFPO,06,DORDI,NURMO,2
LFPO,06,DORDI,OKASI,2
LFPO,06,DORDI,OLZOM,2
LFPO,06,DORDI,OPALE,2
LFPO,06,DORDI,PILUL,2

LFPO,06,ELCOB,AGOPA,2
LFPO,06,ELCOB,ATREX,2
LFPO,06,ELCOB,BUBLI,2
LFPO,06,ELCOB,DIKOL,2
LFPO,06,ELCOB,DORDI,2
LFPO,06,ELCOB,ELCOB,2
LFPO,06,ELCOB,ERIXU,2
LFPO,06,ELCOB,LGL,2
LFPO,06,ELCOB,MONOT,2
LFPO,06,ELCOB,NURMO,2
LFPO,06,ELCOB,OKASI,2
LFPO,06,ELCOB,OLZOM,2
LFPO,06,ELCOB,OPALE,2
LFPO,06,ELCOB,PILUL,2

LFPO,06,ERIXU,AGOPA,2
LFPO,06,ERIXU,ATREX,2
LFPO,06,ERIXU,BUBLI,2
LFPO,06,ERIXU,DIKOL,2
LFPO,06,ERIXU,DORDI,2
LFPO,06,ERIXU,ELCOB,2
LFPO,06,ERIXU,ERIXU,2
LFPO,06,ERIXU,LGL,2
LFPO,06,ERIXU,MONOT,2
LFPO,06,ERIXU,NURMO,2
LFPO,06,ERIXU,OKASI,2
LFPO,06,ERIXU,OLZOM,2
LFPO,06,ERIXU,OPALE,2
LFPO,06,ERIXU,PILUL,2

LFPO,06,LGL,AGOPA,2
LFPO,06,LGL,ATREX,2
LFPO,06,LGL,BUBLI,2
LFPO,06,LGL,DIKOL,2
LFPO,06,LGL,DORDI,2
LFPO,06,LGL,ELCOB,2
LFPO,06,LGL,ERIXU,2
LFPO,06,LGL,LGL,2
LFPO,06,LGL,MONOT,2
LFPO,06,LGL,NURMO,2
LFPO,06,LGL,OKASI,2
LFPO,06,LGL,OLZOM,2
LFPO,06,LGL,OPALE,2
LFPO,06,LGL,PILUL,2

LFPO,06,MONOT,AGOPA,2
LFPO,06,MONOT,ATREX,2
LFPO,06,MONOT,BUBLI,2
LFPO,06,MONOT,DIKOL,2
LFPO,06,MONOT,DORDI,2
LFPO,06,MONOT,ELCOB,2
LFPO,06,MONOT,ERIXU,2
LFPO,06,MONOT,LGL,2
LFPO,06,MONOT,MONOT,2
LFPO,06,MONOT,NURMO,2
LFPO,06,MONOT,OKASI,2
LFPO,06,MONOT,OLZOM,2
LFPO,06,MONOT,OPALE,2
LFPO,06,MONOT,PILUL,2

LFPO,06,NURMO,AGOPA,2
LFPO,06,NURMO,ATREX,2
LFPO,06,NURMO,BUBLI,2
LFPO,06,NURMO,DIKOL,2
LFPO,06,NURMO,DORDI,2
LFPO,06,NURMO,ELCOB,2
LFPO,06,NURMO,ERIXU,2
LFPO,06,NURMO,LGL,2
LFPO,06,NURMO,MONOT,2
LFPO,06,NURMO,NURMO,2
LFPO,06,NURMO,OKASI,2
LFPO,06,NURMO,OLZOM,2
LFPO,06,NURMO,OPALE,2
LFPO,06,NURMO,PILUL,2

LFPO,06,OKASI,AGOPA,2
LFPO,06,OKASI,ATREX,2
LFPO,06,OKASI,BUBLI,2
LFPO,06,OKASI,DIKOL,2
LFPO,06,OKASI,DORDI,2
LFPO,06,OKASI,ELCOB,2
LFPO,06,OKASI,ERIXU,2
LFPO,06,OKASI,LGL,2
LFPO,06,OKASI,MONOT,2
LFPO,06,OKASI,NURMO,2
LFPO,06,OKASI,OKASI,2
LFPO,06,OKASI,OLZOM,2
LFPO,06,OKASI,OPALE,2
LFPO,06,OKASI,PILUL,2

LFPO,06,OLZOM,AGOPA,2
LFPO,06,OLZOM,ATREX,2
LFPO,06,OLZOM,BUBLI,2
LFPO,06,OLZOM,DIKOL,2
LFPO,06,OLZOM,DORDI,2
LFPO,06,OLZOM,ELCOB,2
LFPO,06,OLZOM,ERIXU,2
LFPO,06,OLZOM,LGL,2
