# SID Intervals for LFPG - Paris-CDG
# Available SIDs: AGOPA, ATREX, BAXIR, BUBLI, DORDI, ELCOB, ERIXU, LANVI, LGL, MONOT, NURMO, OKASI, OLZOM, OPALE, PILUL, RANUX
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,1

## RWY 09L
LFPG,08R,BUBLI,PILUL,1

LFPG,08R,DORDI,AGOPA,1
LFPG,08R,DORDI,BAXIR,1
LFPG,08R,DORDI,BUBLI,1
LFPG,08R,DORDI,DORDI,2
LFPG,08R,DORDI,ERIXU,1
LFPG,08R,DORDI,LANVI,1
LFPG,08R,DORDI,LGL,1
LFPG,08R,DORDI,MONOT,1
LFPG,08R,DORDI,OKASI,1
LFPG,08R,DORDI,OLZOM,1
LFPG,08R,DORDI,PILUL,1

LFPG,08R,ERIXU,AGOPA,1
LFPG,08R,ERIXU,BAXIR,1
LFPG,08R,ERIXU,BUBLI,1
LFPG,08R,ERIXU,DORDI,1
LFPG,08R,ERIXU,ERIXU,2
LFPG,08R,ERIXU,LANVI,1
LFPG,08R,ERIXU,LGL,1
LFPG,08R,ERIXU,MONOT,1
LFPG,08R,ERIXU,OKASI,1
LFPG,08R,ERIXU,OLZOM,1
LFPG,08R,ERIXU,PILUL,1

LFPG,08R,LANVI,AGOPA,1
LFPG,08R,LANVI,BAXIR,1
LFPG,08R,LANVI,BUBLI,1
LFPG,08R,LANVI,DORDI,1
LFPG,08R,LANVI,ERIXU,1
LFPG,08R,LANVI,LANVI,2
LFPG,08R,LANVI,LGL,1
LFPG,08R,LANVI,MONOT,1
LFPG,08R,LANVI,OKASI,1
LFPG,08R,LANVI,OLZOM,1
LFPG,08R,LANVI,PILUL,1

LFPG,08R,LGL,AGOPA,1
LFPG,08R,LGL,BAXIR,1
LFPG,08R,LGL,BUBLI,1
LFPG,08R,LGL,DORDI,1
LFPG,08R,LGL,ERIXU,1
LFPG,08R,LGL,LANVI,1
LFPG,08R,LGL,LGL,2
LFPG,08R,LGL,MONOT,1
LFPG,08R,LGL,OKASI,1
LFPG,08R,LGL,OLZOM,1
LFPG,08R,LGL,PILUL,1

LFPG,08R,MONOT,AGOPA,1
LFPG,08R,MONOT,BAXIR,1
LFPG,08R,MONOT,BUBLI,1
LFPG,08R,MONOT,DORDI,1
LFPG,08R,MONOT,ERIXU,1
LFPG,08R,MONOT,LANVI,1
LFPG,08R,MONOT,LGL,1
LFPG,08R,MONOT,MONOT,2
LFPG,08R,MONOT,OKASI,1
LFPG,08R,MONOT,OLZOM,1
LFPG,08R,MONOT,PILUL,1

LFPG,08R,OKASI,AGOPA,1
LFPG,08R,OKASI,BAXIR,1
LFPG,08R,OKASI,BUBLI,1
LFPG,08R,OKASI,DORDI,1
LFPG,08R,OKASI,ERIXU,1
LFPG,08R,OKASI,LANVI,1
LFPG,08R,OKASI,LGL,1
LFPG,08R,OKASI,MONOT,1
LFPG,08R,OKASI,OKASI,2
LFPG,08R,OKASI,OLZOM,1
LFPG,08R,OKASI,PILUL,1

LFPG,08R,OLZOM,AGOPA,1
LFPG,08R,OLZOM,BAXIR,1
LFPG,08R,OLZOM,BUBLI,1
LFPG,08R,OLZOM,DORDI,1
LFPG,08R,OLZOM,ERIXU,1
LFPG,08R,OLZOM,LANVI,1
LFPG,08R,OLZOM,LGL,1
LFPG,08R,OLZOM,MONOT,1
LFPG,08R,OLZOM,OKASI,1
LFPG,08R,OLZOM,OLZOM,2
LFPG,08R,OLZOM,PILUL,1

LFPG,08R,PILUL,AGOPA,1
LFPG,08R,PILUL,BAXIR,1
LFPG,08R,PILUL,BUBLI,1
LFPG,08R,PILUL,DORDI,1
LFPG,08R,PILUL,ERIXU,1
LFPG,08R,PILUL,LANVI,1
LFPG,08R,PILUL,LGL,1
LFPG,08R,PILUL,MONOT,1
LFPG,08R,PILUL,OKASI,1
LFPG,08R,PILUL,OLZOM,1
LFPG,08R,PILUL,PILUL,2

## RWY 26L
LFPG,26L,AGOPA,AGOPA,2
LFPG,26L,AGOPA,BAXIR,1
LFPG,26L,AGOPA,BUBLI,1
LFPG,26L,AGOPA,DORDI,1
LFPG,26L,AGOPA,ERIXU,1
LFPG,26L,AGOPA,LANVI,1
LFPG,26L,AGOPA,LGL,1
LFPG,26L,AGOPA,MONOT,1
LFPG,26L,AGOPA,OKASI,1
LFPG,26L,AGOPA,OLZOM,1
LFPG,26L,AGOPA,PILUL,1

LFPG,26L,BAXIR,AGOPA,1
LFPG,26L,BAXIR,BAXIR,2
LFPG,26L,BAXIR,BUBLI,1
LFPG,26L,BAXIR,DORDI,1
LFPG,26L,BAXIR,ERIXU,1
LFPG,26L,BAXIR,LANVI,1
LFPG,26L,BAXIR,LGL,1
LFPG,26L,BAXIR,MONOT,1
LFPG,26L,BAXIR,OKASI,1
LFPG,26L,BAXIR,OLZOM,1
LFPG,26L,BAXIR,PILUL,1

LFPG,26L,BUBLI,AGOPA,1
LFPG,26L,BUBLI,BAXIR,1
LFPG,26L,BUBLI,BUBLI,2
LFPG,26L,BUBLI,DORDI,1
LFPG,26L,BUBLI,ERIXU,1
LFPG,26L,BUBLI,LANVI,1
LFPG,26L,BUBLI,LGL,1
LFPG,26L,BUBLI,MONOT,1
LFPG,26L,BUBLI,OKASI,1
LFPG,26L,BUBLI,OLZOM,1
LFPG,26L,BUBLI,PILUL,1

LFPG,26L,DORDI,AGOPA,1
LFPG,26L,DORDI,BAXIR,1
LFPG,26L,DORDI,BUBLI,1
LFPG,26L,DORDI,DORDI,2
LFPG,26L,DORDI,ERIXU,1
LFPG,26L,DORDI,LANVI,1
LFPG,26L,DORDI,LGL,1
LFPG,26L,DORDI,MONOT,1
LFPG,26L,DORDI,OKASI,1
LFPG,26L,DORDI,OLZOM,1
LFPG,26L,DORDI,PILUL,1

LFPG,26L,ERIXU,AGOPA,1
LFPG,26L,ERIXU,BAXIR,1
LFPG,26L,ERIXU,BUBLI,1
LFPG,26L,ERIXU,DORDI,1
LFPG,26L,ERIXU,ERIXU,2
LFPG,26L,ERIXU,LANVI,1
LFPG,26L,ERIXU,LGL,1
LFPG,26L,ERIXU,MONOT,1
LFPG,26L,ERIXU,OKASI,1
LFPG,26L,ERIXU,OLZOM,1
LFPG,26L,ERIXU,PILUL,1

