# SID Intervals for LFLL - Saint-Exupery
# Available SIDs: ALURA, BELEP, BELUS, BUSIL, MABES, MADOT, MOKIP, MURRO, REPSI, RISOR, ROMAM
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 17L
LFLL,35L,BELEP,MABES,2
LFLL,35L,BELEP,MOKIP,2
LFLL,35L,BELEP,MURRO,2
LFLL,35L,BELEP,REPSI,2
LFLL,35L,BELEP,RISOR,2
LFLL,35L,BELEP,ROMAM,2

LFLL,35L,BELUS,ALURA,2
LFLL,35L,BELUS,BELEP,2
LFLL,35L,BELUS,BELUS,2
LFLL,35L,BELUS,BUSIL,2
LFLL,35L,BELUS,MABES,2
LFLL,35L,BELUS,MOKIP,2
LFLL,35L,BELUS,MURRO,2
LFLL,35L,BELUS,REPSI,2
LFLL,35L,BELUS,RISOR,2
LFLL,35L,BELUS,ROMAM,2

LFLL,35L,BUSIL,ALURA,2
LFLL,35L,BUSIL,BELEP,2
LFLL,35L,BUSIL,BELUS,2
LFLL,35L,BUSIL,BUSIL,2
LFLL,35L,BUSIL,MABES,2
LFLL,35L,BUSIL,MOKIP,2
LFLL,35L,BUSIL,MURRO,2
LFLL,35L,BUSIL,REPSI,2
LFLL,35L,BUSIL,RISOR,2
LFLL,35L,BUSIL,ROMAM,2

LFLL,35L,MABES,ALURA,2
LFLL,35L,MABES,BELEP,2
LFLL,35L,MABES,BELUS,2
LFLL,35L,MABES,BUSIL,2
LFLL,35L,MABES,MABES,2
LFLL,35L,MABES,MOKIP,2
LFLL,35L,MABES,MURRO,2
LFLL,35L,MABES,REPSI,2
LFLL,35L,MABES,RISOR,2
LFLL,35L,MABES,ROMAM,2

LFLL,35L,MOKIP,ALURA,2
LFLL,35L,MOKIP,BELEP,2
LFLL,35L,MOKIP,BELUS,2
LFLL,35L,MOKIP,BUSIL,2
LFLL,35L,MOKIP,MABES,2
LFLL,35L,MOKIP,MOKIP,2
LFLL,35L,MOKIP,MURRO,2
LFLL,35L,MOKIP,REPSI,2
LFLL,35L,MOKIP,RISOR,2
LFLL,35L,MOKIP,ROMAM,2

LFLL,35L,MURRO,ALURA,2
LFLL,35L,MURRO,BELEP,2
LFLL,35L,MURRO,BELUS,2
LFLL,35L,MURRO,BUSIL,2
LFLL,35L,MURRO,MABES,2
LFLL,35L,MURRO,MOKIP,2
LFLL,35L,MURRO,MURRO,2
LFLL,35L,MURRO,REPSI,2
LFLL,35L,MURRO,RISOR,2
LFLL,35L,MURRO,ROMAM,2

LFLL,35L,REPSI,ALURA,2
LFLL,35L,REPSI,BELEP,2
LFLL,35L,REPSI,BELUS,2
LFLL,35L,REPSI,BUSIL,2
LFLL,35L,REPSI,MABES,2
LFLL,35L,REPSI,MOKIP,2
LFLL,35L,REPSI,MURRO,2
LFLL,35L,REPSI,REPSI,2
LFLL,35L,REPSI,RISOR,2
LFLL,35L,REPSI,ROMAM,2

LFLL,35L,RISOR,ALURA,2
LFLL,35L,RISOR,BELEP,2
LFLL,35L,RISOR,BELUS,2
LFLL,35L,RISOR,BUSIL,2
LFLL,35L,RISOR,MABES,2
LFLL,35L,RISOR,MOKIP,2
LFLL,35L,RISOR,MURRO,2
LFLL,35L,RISOR,REPSI,2
LFLL,35L,RISOR,RISOR,2
LFLL,35L,RISOR,ROMAM,2

LFLL,35L,ROMAM,ALURA,2
LFLL,35L,ROMAM,BELEP,2
LFLL,35L,ROMAM,BELUS,2
LFLL,35L,ROMAM,BUSIL,2
LFLL,35L,ROMAM,MABES,2
LFLL,35L,ROMAM,MOKIP,2
LFLL,35L,ROMAM,MURRO,2
LFLL,35L,ROMAM,REPSI,2
LFLL,35L,ROMAM,RISOR,2
LFLL,35L,ROMAM,ROMAM,2

## RWY 35R
LFLL,35R,ALURA,ALURA,2
LFLL,35R,ALURA,BELEP,2
LFLL,35R,ALURA,BELUS,2
LFLL,35R,ALURA,BUSIL,2
LFLL,35R,ALURA,MABES,2
LFLL,35R,ALURA,MOKIP,2
LFLL,35R,ALURA,MURRO,2
LFLL,35R,ALURA,REPSI,2
LFLL,35R,ALURA,RISOR,2
LFLL,35R,ALURA,ROMAM,2

LFLL,35R,BELEP,ALURA,2
LFLL,35R,BELEP,BELEP,2
LFLL,35R,BELEP,BELUS,2
LFLL,35R,BELEP,BUSIL,2
LFLL,35R,BELEP,MABES,2
LFLL,35R,BELEP,MOKIP,2
LFLL,35R,BELEP,MURRO,2
LFLL,35R,BELEP,REPSI,2
LFLL,35R,BELEP,RISOR,2
LFLL,35R,BELEP,ROMAM,2

LFLL,35R,BELUS,ALURA,2
LFLL,35R,BELUS,BELEP,2
LFLL,35R,BELUS,BELUS,2
LFLL,35R,BELUS,BUSIL,2
LFLL,35R,BELUS,MABES,2
LFLL,35R,BELUS,MOKIP,2
LFLL,35R,BELUS,MURRO,2
LFLL,35R,BELUS,REPSI,2
LFLL,35R,BELUS,RISOR,2
LFLL,35R,BELUS,ROMAM,2

LFLL,35R,BUSIL,ALURA,2
LFLL,35R,BUSIL,BELEP,2
LFLL,35R,BUSIL,BELUS,2
LFLL,35R,BUSIL,BUSIL,2
LFLL,35R,BUSIL,MABES,2
LFLL,35R,BUSIL,MOKIP,2
LFLL,35R,BUSIL,MURRO,2
LFLL,35R,BUSIL,REPSI,2
LFLL,35R,BUSIL,RISOR,2
LFLL,35R,BUSIL,ROMAM,2

LFLL,35R,MABES,ALURA,2
LFLL,35R,MABES,BELEP,2
LFLL,35R,MABES,BELUS,2
LFLL,35R,MABES,BUSIL,2
LFLL,35R,MABES,MABES,2
LFLL,35R,MABES,MOKIP,2
LFLL,35R,MABES,MURRO,2
LFLL,35R,MABES,REPSI,2
LFLL,35R,MABES,RISOR,2
LFLL,35R,MABES,ROMAM,2

LFLL,35R,MOKIP,ALURA,2
LFLL,35R,MOKIP,BELEP,2
LFLL,35R,MOKIP,BELUS,2
LFLL,35R,MOKIP,BUSIL,2
LFLL,35R,MOKIP,MABES,2
LFLL,35R,MOKIP,MOKIP,2
LFLL,35R,MOKIP,MURRO,2
LFLL,35R,MOKIP,REPSI,2
LFLL,35R,MOKIP,RISOR,2
LFLL,35R,MOKIP,ROMAM,2

LFLL,35R,MURRO,ALURA,2
LFLL,35R,MURRO,BELEP,2
LFLL,35R,MURRO,BELUS,2
LFLL,35R,MURRO,BUSIL,2
LFLL,35R,MURRO,MABES,2
LFLL,35R,MURRO,MOKIP,2
LFLL,35R,MURRO,MURRO,2
LFLL,35R,MURRO,REPSI,2
LFLL,35R,MURRO,RISOR,2
LFLL,35R,MURRO,ROMAM,2

LFLL,35R,REPSI,ALURA,2
LFLL,35R,REPSI,BELEP,2
LFLL,35R,REPSI,BELUS,2
LFLL,35R,REPSI,BUSIL,2
LFLL,35R,REPSI,MABES,2
LFLL,35R,REPSI,MOKIP,2
LFLL,35R,REPSI,MURRO,2
LFLL,35R,REPSI,REPSI,2
LFLL,35R,REPSI,RISOR,2
LFLL,35R,REPSI,ROMAM,2

LFLL,35R,RISOR,ALURA,2
LFLL,35R,RISOR,BELEP,2
LFLL,35R,RISOR,BELUS,2
LFLL,35R,RISOR,BUSIL,2
LFLL,35R,RISOR,MABES,2
LFLL,35R,RISOR,MOKIP,2
LFLL,35R,RISOR,MURRO,2
LFLL,35R,RISOR,REPSI,2
LFLL,35R,RISOR,RISOR,2
LFLL,35R,RISOR,ROMAM,2

LFLL,35R,ROMAM,ALURA,2
LFLL,35R,ROMAM,BELEP,2
LFLL,35R,ROMAM,BELUS,2
LFLL,35R,ROMAM,BUSIL,2
LFLL,35R,ROMAM,MABES,2
LFLL,35R,ROMAM,MOKIP,2
LFLL,35R,ROMAM,MURRO,2
LFLL,35R,ROMAM,REPSI,2
LFLL,35R,ROMAM,RISOR,2
LFLL,35R,ROMAM,ROMAM,2
